연도,기업명,ticker,MSCI,S&P,Sustainalytics,ISS,ESG기준원,평균 점수
2020,포스코퓨처엠,3670,3.1647,5.1865,3.6268,3.2579,4.9068,4.02854
2020,이마트,139480,3.6284,3.379,2.8414,2.2516,5.4607,3.51222
2020,영원무역,111770,3.3751,1.5186,2.8305,1.1481,4.4204,2.599395199077624
2020,금호타이어,73240,2.9944,4.6885,1.6749,2.0247,5.6311,3.40272
2020,농심,4370,2.4732,2.8636,6.2369,2.3499,3.4823,3.4811799999999997
2020,삼성SDI,6400,5.2064,6.4039,1.469,6.2079,5.5685,4.97114
2020,신한지주,55550,6.0671,5.9675,2.7411,2.9316,6.4163,4.82472
2020,한국가스공사,36460,2.2714,5.0212,4.4899,3.234748662274553,2.8934392442426304,3.5821375813034364
2020,KT,30200,4.7981,4.7059,3.2959,5.2653,4.2678,4.4666
2020,팬오션,28670,2.6773,3.681,2.9725,2.3078742480502923,2.1030511744852856,2.7483450845071156
2020,코웨이,21240,3.8906,5.3625,2.194,5.142,4.8831,4.29444
2020,삼성전기,9150,3.689,6.8801,0.9904,5.4354,4.4155,4.282079999999999
2020,HMM,11200,2.961,3.9611,1.7611,4.3872,5.7421,3.7625
2020,SK아이이테크놀로지,361610,2.8862,4.6685,2.5918,4.9331,5.6725,4.1504199999999996
2020,SK네트웍스,1740,3.8361,4.9717,3.7859,2.5506206767795256,2.6403504602867405,3.556934227413253
2020,BGF리테일,282330,3.4185,3.9235,4.6745,1.7646177883444258,1.9345441910031618,3.1431323958695176
2020,한미약품,128940,2.8698,3.1606,4.728,5.1145,4.3308,4.0407399999999996
2020,GS,78930,4.5348,2.6925,5.277,0.9689,2.9524,3.28512
2020,롯데쇼핑,23530,2.7003,2.6002,3.8691,1.4897368628015424,1.4519947523921701,2.4222663230387425
2020,넷마블,251270,2.9069,2.8661,2.0831,2.9149,3.4163,2.8374599999999996
2020,SK바이오사이언스,302440,4.5408,3.6428,3.1406,5.651,5.3224,4.45952
2020,GS리테일,7070,2.7589,3.3158,2.1309,1.2854395761231894,1.2057520109244966,2.1393583174095374
2020,현대모비스,12330,1.7327,5.9272,0.8588,5.6344,5.1324,3.8571000000000004
2020,LG디스플레이,34220,6.5392,7.2885,1.6424,5.1436,5.359,5.194540000000001
2020,LG유플러스,32640,2.823,4.6303,4.0157,4.0637,1.6153481192022576,3.4296096238404514
2020,롯데지주,4990,2.485,2.2104,2.6206,1.2312342455327603,1.2378148464064624,1.9570098183878444
2020,한온시스템,18880,2.2658,4.381,1.1057,5.3043,4.9129,3.59394
2020,삼성전자,5930,5.2735,5.0051,2.4076,5.0199,4.8554,4.5123
2020,SK하이닉스,660,3.4152,6.334,2.212,2.700143484133865,2.75408365905674,3.483085428638121
2020,LG에너지솔루션,373220,2.8112,3.9737,3.5169,4.0443,6.7978,4.218667248820489
2020,삼성바이오로직스,207940,2.8564,5.0715,2.0279,3.3579,4.3387,3.53048
2020,현대차,5380,1.7779,6.238,3.5526,5.098,2.7896,3.8912199999999997
2020,기아,270,0.9576,5.4105,3.1763,5.0573,2.89,3.49834
2020,셀트리온,68270,1.9878,5.6943,4.7151,3.4069,5.6953,4.29988
2020,포스코 홀딩스,5490,3.792,5.5092,2.9287,3.4194,5.6145,4.25276
2020,LG화학,51910,2.9181,6.0532,3.2478,7.5212,6.264,5.20086
2020,NAVER,35420,5.6787,3.7292,1.5672,3.9558,5.9978,4.18574
2020,삼성물산,28260,3.4663,6.3943,3.8368,3.3154,6.6069,4.72394
2020,KB금융,105560,4.6982,7.6271,2.7997,3.3908,5.5362,4.8104
2020,카카오,35720,3.6818,6.1648,2.9827,6.3767,5.4113,4.9234599999999995
2020,삼성생명,32830,3.9492,5.2647,2.3456,3.0004222370180007,5.3595,3.9838844474036
2020,하나금융지주,86790,3.4209,6.2409,3.3694,2.1410281525803714,2.2981589940327543,3.4940774293226253
2020,LG전자,66570,5.395,5.6591,3.7781,1.9623,3.0470170410675137,3.9683034082135022
2020,카카오뱅크,323410,3.7234,2.1492,2.7,4.9441,4.135,3.53034
2020,삼성에스디에스,18260,5.2799,1.7129,1.757,5.2517,2.3425517064427854,3.2688103412885567
2020,크래프톤,259960,5.2111,1.7169,3.9037,4.349,5.2643,4.089
2020,SK텔레콤,17670,5.5424,7.5876,4.336,3.2703,4.6598,5.07922
2020,sk이노베이션,96770,3.7264,4.6079,4.0038,1.0545,4.5018,3.5788799999999994
2020,우리금융지주,316140,3.7495,5.3975,6.0995,3.6482,5.6214,4.90322
2020,한화에어로스페이스,12450,3.7819,3.4595,1.6268,3.2883,5.211,3.4735
2020,하이브,352820,3.6204,0.9691,6.2698,4.7908,4.8519,4.1004000000000005
2020,고려아연,10130,1.9317,4.602,5.0899,4.649,4.163505557535351,4.13908319969375
2020,S-Oil,10950,2.5891,4.5821,2.4076,7.7965,4.5785,4.39076
2020,대한항공,3490,3.0684,3.6086,2.6988,4.678,5.61,3.9327599999999996
2020,삼성중공업,10140,0.9926,5.1504,4.2453,4.8137,3.2197,3.68434
2020,SK바이오팜,326030,2.7315,4.7379,3.9175,3.6567,3.1017650754866724,3.6290730150973345
2020,아모레퍼시픽,90430,5.0375,5.8039,1.6749,3.9095,5.0762,4.300400000000001
2020,한국타이어앤테크놀로지,161390,4.5522,5.7876,3.5966,4.169,3.3988559976511925,4.300851199530238
2020,LG생활건강,51900,5.7091,6.7036,2.1018,4.4243,4.49575545941364,4.686911091882728
2020,카카오페이,377300,3.3545,4.0857,1.7496,3.833057583847302,4.9725,3.5990715167694605
2020,CJ제일제당,97950,5.4409,4.7244,1.4024,4.3296,2.7499744389494736,3.7294548877898945
2020,엔씨소프트,36570,3.7041,5.2457,2.2731,2.4043381056757407,2.5706124917114987,3.2395701194774476
2020,금호석유,11780,1.8086,2.9182,2.3285,1.6852476404041716,1.5574723710216838,2.059604002285171
2020,효성,4800,3.5257,2.8833,2.9142,1.520632824746196,1.4390262863821446,2.4565718222256683
