연도,기업명,ticker,MSCI,S&P,Sustainalytics,ISS,ESG기준원,평균 점수
2019,포스코퓨처엠,003670,2.1716,5.8236,3.4381,3.1567,5.5469,3.7181
2020,포스코퓨처엠,003670,3.1647,5.1865,3.6268,3.2579,4.9068,3.8846
2021,포스코퓨처엠,003670,4.1937,5.6164,3.6155,3.5889,4.3531,4.2602
2022,포스코퓨처엠,003670,5.3879,5.3774,3.9208,3.3841,5.4084,4.8111
2023,포스코퓨처엠,003670,4.0143,5.3318,3.1471,3.6946,4.7741,4.1627
2019,이마트,139480,3.5433,3.8114,2.783,2.0061,4.6243,3.3852
2020,이마트,139480,3.6284,3.379,2.8414,2.2516,5.4607,3.5316
2021,이마트,139480,3.3202,3.1996,2.284,2.3329,5.6372,3.349
2022,이마트,139480,4.1995,3.7215,2.8587,2.1371,4.6849,3.6335
2023,이마트,139480,3.1146,4.0702,2.9967,1.9281,5.6387,3.4772
2019,영원무역,111770,2.915,1.9983,2.157,1.1461,4.3961,2.5879
2020,영원무역,111770,3.3751,1.5186,2.8305,1.1481,4.4204,2.778
2021,영원무역,111770,3.4395,1.693,2.3386,0.8595,3.8575,2.6046
2022,영원무역,111770,4.7894,1.8136,2.5126,1.0069,3.7156,3.1046
2023,영원무역,111770,3.3154,1.6561,2.7959,1.1235,4.4817,2.7813
2019,금호타이어,073240,3.739,4.6739,1.6976,2.1243,5.1004,3.5124
2020,금호타이어,073240,2.9944,4.6885,1.6749,2.0247,5.6311,3.3347
2021,금호타이어,073240,4.4163,4.3734,1.7537,2.4955,5.0197,3.7458
2022,금호타이어,073240,4.9354,4.5776,1.7236,2.5296,5.0748,3.9627
2023,금호타이어,073240,3.5362,4.9345,1.9429,2.122,4.5623,3.439
2019,농심,004370,2.8268,2.8803,5.2172,2.3868,4.5272,3.4442
2020,농심,004370,2.4732,2.8636,6.2369,2.3499,3.4823,3.3132
2021,농심,004370,3.2775,3.3151,5.1289,2.0505,4.4542,3.5839
2022,농심,004370,4.6097,3.4706,6.1348,2.3631,4.0745,4.2104
2023,농심,004370,4.1161,3.0942,5.8341,1.902,3.6296,3.782
2019,삼성SDI,006400,4.6992,6.1511,1.5392,6.505,5.2375,4.8052
2020,삼성SDI,006400,5.2064,6.4039,1.469,6.2079,5.5685,5.0104
2021,삼성SDI,006400,5.3964,5.8455,1.3147,5.657,4.6081,4.703
2022,삼성SDI,006400,5.5785,5.7921,1.2847,6.5458,5.4695,5.0415
2023,삼성SDI,006400,5.1869,6.8033,1.5118,5.7761,5.6214,5.0144
2019,신한지주,055550,6.6537,6.4919,2.9955,3.1981,6.388,5.3968
2020,신한지주,055550,6.0671,5.9675,2.7411,2.9316,6.4163,5.0318
2021,신한지주,055550,5.8521,6.0072,3.3595,2.9799,6.5115,5.0937
2022,신한지주,055550,5.3422,5.777,2.7039,3.3753,6.7079,4.8748
2023,신한지주,055550,5.926,5.708,3.3211,3.3687,5.3419,4.932
2019,한국가스공사,036460,2.748,5.9965,3.9407,,,2.5722
2020,한국가스공사,036460,2.2714,5.0212,4.4899,,,2.3423
2021,한국가스공사,036460,2.8673,6.1199,4.9102,,,2.7941
2022,한국가스공사,036460,4.7217,6.0269,4.2562,,,3.2877
2023,한국가스공사,036460,3.8499,6.3748,4.7353,,,3.135
2019,KT,030200,4.246,4.4694,3.2537,4.8584,5.0578,4.3552
2020,KT,030200,4.7981,4.7059,3.2959,5.2653,4.2678,4.5219
2021,KT,030200,4.4311,4.506,2.9728,4.4834,5.2763,4.3501
2022,KT,030200,4.7596,4.1889,3.101,4.3267,5.5959,4.4553
2023,KT,030200,4.5812,5.0679,3.6685,3.9476,5.7243,4.5951
2019,팬오션,028670,2.8575,3.3637,2.7702,,,1.9748
2020,팬오션,028670,2.6773,3.681,2.9725,,,2.0014
2021,팬오션,028670,3.038,3.3025,2.7939,,,2.0287
2022,팬오션,028670,4.8658,3.0935,2.4864,,,2.5519
2023,팬오션,028670,3.7622,3.1731,2.882,,,2.2632
2019,코웨이,021240,1.6694,4.3487,2.0654,5.0331,5.2053,3.3319
2020,코웨이,021240,3.8906,5.3625,2.194,5.142,4.8831,4.2271
2021,코웨이,021240,5.1189,4.8529,2.1986,3.9468,4.4878,4.2873
2022,코웨이,021240,4.7913,5.0591,2.0588,3.9488,4.9095,4.2598
2023,코웨이,021240,5.4319,4.8111,1.8228,4.199,4.4509,4.3579
2019,삼성전기,009150,4.7909,5.9869,1.0591,6.1678,5.0658,4.6436
2020,삼성전기,009150,3.689,6.8801,0.9904,5.4354,4.4155,4.1832
2021,삼성전기,009150,4.2577,6.9455,1.2468,5.9459,5.4637,4.6863
2022,삼성전기,009150,5.3301,5.5458,0.9575,6.6578,5.3255,4.8578
2023,삼성전기,009150,5.2613,7.0453,1.1916,6.5645,4.8108,5.0225
2019,HMM,011200,3.9926,3.3713,1.9358,4.964,5.2542,3.9184
2020,HMM,011200,2.961,3.9611,1.7611,4.3872,5.7421,3.6289
2021,HMM,011200,3.1543,3.6092,1.5168,4.8579,5.0498,3.557
2022,HMM,011200,3.4442,3.6511,1.7506,5.1629,4.5628,3.6693
2023,HMM,011200,3.4402,3.3006,1.6455,5.1617,4.2735,3.5436
2019,SK아이이테크놀로지,361610,3.0012,4.7357,2.3018,4.4019,4.8443,3.7143
2020,SK아이이테크놀로지,361610,2.8862,4.6685,2.5918,4.9331,5.6725,3.9397
2021,SK아이이테크놀로지,361610,2.8009,5.0305,2.6045,4.8244,5.2057,3.8778
2022,SK아이이테크놀로지,361610,3.7093,5.301,2.8913,5.1896,5.5278,4.388
2023,SK아이이테크놀로지,361610,5.4733,5.5177,2.4876,4.4108,5.2898,4.7754
2019,SK네트웍스,001740,4.0993,5.0767,3.0569,,,2.722
2020,SK네트웍스,001740,3.8361,4.9717,3.7859,,,2.7383
2021,SK네트웍스,001740,4.7235,3.9293,3.3943,,,2.7951
2022,SK네트웍스,001740,5.4458,3.9302,3.7589,,,3.0968
2023,SK네트웍스,001740,3.3345,4.5615,3.2726,,,2.4172
2019,BGF리테일,282330,3.629,4.1793,4.4037,,,2.6402
