,Equal Weighted,Optimized ESG (tau=0.1),Optimized ESG (tau=0.5)
003670,0.015151515151515152,4.282380285394421e-06,1.0026175595506448e-05
139480,0.015151515151515152,1.3460486063331752e-06,2.2312186372187667e-06
111770,0.015151515151515152,1.627764249565621e-05,1.1159975921972705e-05
073240,0.015151515151515152,1.3059488949704282e-05,9.509631141170419e-06
004370,0.015151515151515152,0.0060950879055397126,0.006741451382099782
006400,0.015151515151515152,2.4107097014833466e-06,6.15183115040455e-06
055550,0.015151515151515152,8.024045407945038e-06,1.6514881326671725e-05
036460,0.015151515151515152,3.974307383691144e-06,1.1117940486198748e-05
030200,0.015151515151515152,1.096646621103559e-05,2.106656718333797e-05
028670,0.015151515151515152,6.846622529290112e-06,5.389798324458092e-06
021240,0.015151515151515152,0.001839960152632756,0.0018225125617098738
009150,0.015151515151515152,1.1709490327362941e-05,9.026126895104155e-06
011200,0.015151515151515152,1.0590019984474989e-05,7.75027261164648e-06
361610,0.015151515151515152,3.7374064968228064e-06,1.0021478865244822e-05
001740,0.015151515151515152,7.799157014583072e-06,1.4011617775852335e-05
282330,0.015151515151515152,2.6442691921445617e-05,1.9262039328537927e-05
128940,0.015151515151515152,6.893961676367038e-06,1.2778549644342126e-05
078930,0.015151515151515152,9.196917903916605e-06,1.9285282005890966e-05
023530,0.015151515151515152,5.19045913674815e-07,2.748151162928137e-07
251270,0.015151515151515152,4.512139029535524e-06,7.335370623222571e-06
302440,0.015151515151515152,2.253769183394295e-06,5.7169429362809195e-06
007070,0.015151515151515152,2.3652415436199356e-06,2.853792659313891e-06
012330,0.015151515151515152,1.2690272321250846e-05,9.346328627634879e-06
034220,0.015151515151515152,8.320337935371069e-07,1.435950658545898e-06
032640,0.015151515151515152,0.22616110652653104,0.22669904379767405
004990,0.015151515151515152,2.4207653032721705e-06,3.6959037209540784e-06
018880,0.015151515151515152,7.00208140034258e-06,1.573973700720613e-05
005930,0.015151515151515152,2.6230392175044312e-05,1.9600276084220324e-05
000660,0.015151515151515152,5.954229965949231e-06,3.0086734172360013e-06
373220,0.015151515151515152,0.02633373788289008,0.026319617756613845
207940,0.015151515151515152,1.843747604271184e-05,1.2572186446362067e-05
005380,0.015151515151515152,1.956459936377288e-06,3.321813840116626e-06
000270,0.015151515151515152,2.695970566777626e-06,5.646566432484571e-06
068270,0.015151515151515152,3.5241741641509226e-06,3.955320366401137e-06
005490,0.015151515151515152,2.495520432617815e-06,7.103343731656687e-06
051910,0.015151515151515152,1.533051854705354e-05,1.2376058021000718e-05
035420,0.015151515151515152,2.129319188281506e-05,1.5498647150032797e-05
028260,0.015151515151515152,3.426373914180743e-06,7.5928505583666325e-06
105560,0.015151515151515152,1.961321822096167e-06,4.8908392916351936e-06
035720,0.015151515151515152,1.4864238772201357e-05,1.1219180518689495e-05
032830,0.015151515151515152,6.132118641706797e-06,1.300105384227121e-05
086790,0.015151515151515152,1.1965393849379272e-05,2.4634507284502682e-05
066570,0.015151515151515152,6.565033522031135e-06,1.197839310007675e-05
323410,0.015151515151515152,1.474894020295785e-05,2.9535216184101173e-05
018260,0.015151515151515152,3.8562282672806125e-06,2.076002337272181e-06
259960,0.015151515151515152,1.016127383052839e-06,9.99498422324431e-07
017670,0.015151515151515152,0.5911752176859328,0.5917044526346839
096770,0.015151515151515152,2.199003379631664e-06,7.153049159628789e-06
316140,0.015151515151515152,0.012583765292764565,0.012274862420896107
012450,0.015151515151515152,2.16473545850766e-05,1.5332421195904385e-05
352820,0.015151515151515152,0.015357134645574692,0.01365287320380834
010130,0.015151515151515152,7.070834993060703e-06,1.0753654921563128e-05
010950,0.015151515151515152,0.08871049443587074,0.0890798873754024
003490,0.015151515151515152,2.7202490785572804e-05,2.0522846993261356e-05
010140,0.015151515151515152,6.603684917115149e-06,1.289563330717432e-05
326030,0.015151515151515152,1.3414843205979441e-05,9.163619659049228e-06
090430,0.015151515151515152,0.03202572441309682,0.03193368216910808
161390,0.015151515151515152,8.695368418216297e-07,2.588466064388314e-06
051900,0.015151515151515152,6.132504954668612e-06,3.978493470713736e-06
377300,0.015151515151515152,4.060879630093275e-06,2.677152290570593e-06
097950,0.015151515151515152,3.4041702560404095e-06,6.903988148483625e-06
036570,0.015151515151515152,1.0482347021602523e-05,2.2652037688952283e-05
011780,0.015151515151515152,9.630317982325032e-06,2.155720268205697e-05
004800,0.015151515151515152,6.689266018513207e-06,4.439913068821804e-06
KOSPI,0.015151515151515152,,
ESG_ETF,0.015151515151515152,,
